ID,Unknown,Index,Offset,Text
4330293,0,1,1179668,Stros M'Kai
4330293,1,1,1179680,Betnikh
4330293,2,1,1179688,Glenumbra
4330293,3,1,1179698,Stormhaven
4330293,4,1,1179709,Rivenspire
4330293,5,1,1179720,Alik'r Desert
4330293,6,1,1179734,Bangkorai
4330293,7,1,1179744,Bleakrock Isle
4330293,8,1,1179759,Bal Foyen
4330293,9,1,1179769,Stonefalls
4330293,10,1,1179780,Deshaan
4330293,11,1,1179788,Shadowfen
4330293,12,1,1179798,Eastmarch
4330293,13,1,1179808,The Rift
4330293,14,1,1179817,Khenarthi's Roost
4330293,15,1,1179835,Auridon
4330293,16,1,1179843,Grahtwood
4330293,17,1,1179853,Greenshade
4330293,18,1,1179864,Malabal Tor
4330293,19,1,1179876,Reaper's March
4330293,20,1,1179891,Coldharbour
4330293,21,1,1179903,Craglorn
4330293,22,1,1179912,Wrothgar
4330293,23,1,1179921,Hew's Bane
4330293,24,1,1179932,Gold Coast
4330293,25,1,1179943,Vvardenfell
4330293,26,1,1179955,Clockwork City
4330293,27,1,1179970,Summerset
4330293,28,1,1179980,Murkmire
4330293,29,1,1179989,Northern Elsweyr
4330293,30,1,1180006,Southern Elsweyr
4330293,31,1,1180023,Western Skyrim
4330293,32,1,1180038,The Reach
4330293,33,1,1180048,Blackwood
4330293,34,1,1180058,The Deadlands
4330293,35,1,1180072,High Isle
4330293,36,1,1180082,Galen
10860933,0,7,2109931,Red Rook Camp
10860933,0,10,2109945,Hag Fen
10860933,0,16,2109953,Burial Mounds
10860933,0,29,2109967,Hinault Farm
10860933,0,30,2109980,Moira's Hope
10860933,0,31,2109993,Silverhoof Vale
10860933,0,34,2110009,Crestshade
10860933,0,35,2110020,Camp Tamrith
10860933,0,37,2110033,Traitor's Tor
10860933,0,38,2110047,Lorkrata Hills
10860933,0,39,2110062,Sanguine Barrows
10860933,0,42,2110079,Breagha-Fin
10860933,0,44,2110091,Ravenwatch Castle
10860933,0,76,2110109,Edrald Estate
10860933,0,82,2110123,Dro-Dara Plantation
10860933,0,84,2110143,Aphren's Hold
10860933,0,85,2110157,Shinji's Scarp
10860933,0,87,2110172,Weeping Giant
10860933,0,93,2110186,Narsis
10860933,0,129,2110193,Farangel's Landing
10860933,0,130,2110212,Pariah Abbey
10860933,0,131,2110225,Wind Keep
10860933,0,132,2110235,Dreughside
10860933,0,133,2110246,Cumberland's Watch
10860933,0,136,2110265,Moonlit Maw
10860933,0,138,2110277,at-Tura Estate
10860933,0,139,2110292,Koeglin Lighthouse
10860933,0,140,2110311,Steelheart Moorings
10860933,0,142,2110331,Firebrand Keep
10860933,0,144,2110346,Nurin Farm
10860933,0,151,2110357,Davon's Watch
10860933,0,155,2110371,Jackdaw Cove
10860933,0,156,2110384,Northglen
10860933,0,159,2110394,Halcyon Lake
10860933,0,160,2110407,Pelin Graveyard
10860933,0,162,2110423,Fallen Grotto
10860933,0,163,2110437,Bangkorai Garrison
10860933,0,165,2110456,Nilata Ruins
10860933,0,166,2110469,Hall of Heroes
10860933,0,167,2110484,Kerbol's Hollow
10860933,0,168,2110500,Fort Virak
10860933,0,171,2110511,Hallin's Stand
10860933,0,173,2110526,Onsi's Breath
10860933,0,176,2110540,Qharroa Ruins
10860933,0,184,2110554,Sentinel Docks
10860933,0,190,2110569,Ancestor's Landing
10860933,0,191,2110588,Morwha's Bounty
10860933,0,193,2110604,Rain Catcher Fields
10860933,0,194,2110624,Tu'whacca's Throne
10860933,0,196,2110643,Kulati Mines
10860933,0,200,2110656,Leki's Blade
10860933,0,202,2110669,Sep's Spine
10860933,0,203,2110681,Bergama
10860933,0,205,2110689,Tava's Blessing
10860933,0,220,2110705,White Rose Prison
10860933,0,225,2110723,HoonDing's Watch
10860933,0,234,2110740,Vanne Farm
10860933,0,235,2110751,Shornhelm
10860933,0,236,2110761,Soulshriven Tower
10860933,0,237,2110779,Fell's Run
10860933,0,238,2110790,Northpoint
10860933,0,239,2110801,Alcaire Keep
10860933,0,240,2110814,Koeglin Village
10860933,0,241,2110830,Windridge Cave
10860933,0,242,2110845,The Doomcrag
10860933,0,243,1399500,Daggerfall
10860933,0,244,2110858,Westtry
10860933,0,245,2110866,Deleyn's Mill
10860933,0,246,2110880,Aldcroft
10860933,0,247,2110889,Shrieking Scar
10860933,0,248,2110904,Satakalaam
10860933,0,249,2110915,Glenumbra Moors
10860933,0,250,2110931,Lion Guard Redoubt
10860933,0,251,2110950,Kozanset
10860933,0,252,2110959,Eagle's Brook
10860933,0,253,2110973,Vale of the Guardians
10860933,0,254,2110995,Camlorn
10860933,0,255,2111003,Beldama Wyrd Tree
10860933,0,256,2111021,Sentinel
10860933,0,257,2111030,Salas En
10860933,0,258,2111039,Tomb of Lost Kings
10860933,0,259,2111058,Viridian Woods
10860933,0,260,2111073,Crosswych
10860933,0,261,2111083,Cath Bedraud
10860933,0,262,2111096,Sunken Road
10860933,0,263,2111108,Motalion Necropolis
10860933,0,265,2111128,Martyr's Crossing
10860933,0,266,2111146,Evermore
10860933,0,269,2111155,Malak's Maw
10860933,0,270,2111167,Mournhold
10860933,0,271,2111177,Fort Arand
10860933,0,273,2111188,Senie
10860933,0,274,2111194,Vivec's Antlers
10860933,0,275,2111210,Starved Plain
10860933,0,276,2111224,Silent Mire
10860933,0,277,2111236,Hrogar's Hold
10860933,0,278,2111250,Dresan Keep
10860933,0,279,2111262,Baelborne Rock
10860933,0,280,2111277,Othrenis
10860933,0,281,2111286,Sathram Plantation
10860933,0,282,2111305,Muth Gnaar
10860933,0,283,2111316,Deepcrag Den
10860933,0,284,2111329,Brothers of Strife
10860933,0,285,2111348,Heimlyn Keep
10860933,0,286,2111361,Quarantine Serk
10860933,0,287,2111377,Alten Corimont
10860933,0,289,2111392,Kragenmoor
10860933,0,290,2111403,Obsidian Scar
10860933,0,295,2111417,Tal'Deic Fortress
10860933,0,296,2111435,Dungeon: Wayrest Sewers I
10860933,0,297,2111461,Bonesnap Ruins
10860933,0,299,2111476,Razak's Wheel
10860933,0,300,2111490,Hissmir
10860933,0,301,2111498,Stillrise Village
10860933,0,302,2111516,Mzithumz
10860933,0,303,2111525,Vale of the Ghost Snake
10860933,0,304,2111549,Lukiul Uxith
