ID,Unknown,Index,Offset,Text
17915077,0,4,3764252,流星<Meteor>
17915077,0,113,3961472,上削<Uppercut>
4330293,25,1,5128784,瓦登费尔<Vvardenfell>
17915077,0,370,5159592,守卫<Guard>
4330293,20,1,5190193,冷港<Coldharbour>
17915077,0,109,5222124,猛劈<Cleave>
4330293,33,1,5696675,黑森林<Blackwood>
17915077,0,94,5701081,暗影斗篷<Shadow Cloak>
10860933,0,1714,5708664,阿巴码头<Abah's Landing>
10860933,0,1046,5786024,法师<The Mage>
10860933,0,435,5786041,法师<The Mage>
10860933,0,804,5786058,法师<The Mage>
10860933,0,982,5786075,法师<The Mage>
17915077,0,114,5821405,疾风攻击<Flurry>
10860933,0,1053,5864495,暗影<The Shadow>
10860933,0,350,5864514,暗影<The Shadow>
10860933,0,414,5864533,暗影<The Shadow>
10860933,0,953,5864552,暗影<The Shadow>
4330293,21,1,5940994,荒崖<Craglorn>
17915077,0,84,5968603,炼狱<Inferno>
4330293,32,1,5972440,瑞驰<The Reach>
17915077,0,157,5986473,火焰符文<Fire Rune>
10860933,0,1051,5990614,高塔<The Tower>
10860933,0,434,5990632,高塔<The Tower>
10860933,0,803,5990650,高塔<The Tower>
10860933,0,981,5990668,高塔<The Tower>
17915077,0,118,5991568,旋风<Whirlwind>
17915077,0,65,6151736,魔法沉默<Negate Magic>
10860933,0,2356,6174541,利雅文<Leyawiin>
10860933,0,256,6182687,哨卫城<Sentinel>
4330293,27,1,6184855,夏暮岛<Summerset>
10860933,0,1050,6210243,仪式<The Ritual>
10860933,0,522,6210262,仪式<The Ritual>
10860933,0,578,6210281,仪式<The Ritual>
10860933,0,900,6210300,仪式<The Ritual>
17915077,0,60,6267623,闪电形态<Lightning Form>
10860933,0,2456,6300474,加瑞克之息<Garick's Rest>
10860933,0,689,6364999,弗柯尔之盾<Vulkhel Guard>
4330293,31,1,6368040,天际西部<Western Skyrim>
17915077,0,415,6380174,寒冰刺骨<Impaling Shards>
10860933,0,1047,6466086,盗贼<The Thief>
10860933,0,519,6466104,盗贼<The Thief>
10860933,0,577,6466122,盗贼<The Thief>
10860933,0,901,6466140,盗贼<The Thief>
10860933,0,243,6468364,匕落城<Daggerfall>
17915077,0,25,6474484,专注冲锋<Focused Charge>
4330293,2,1,6477115,格林纳巴<Glenumbra>
17915077,0,87,6514910,闪现一击<Teleport Strike>
4330293,28,1,6542662,黯沉泥沼<Murkmire>
4330293,19,1,6544278,魂殇之地<Reaper's March>
4330293,22,1,6556982,沃斯嘉<Wrothgar>
17915077,0,119,6560149,霰弹射击<Arrow Spray>
17915077,0,315,6561423,屏障<Barrier>
17915077,0,26,6637965,烈焰之握<Fiery Grip>
17915077,0,83,6919267,烈焰吐息<Fiery Breath>
4330293,35,1,6922563,高岛<High Isle>
4330293,13,1,6929742,裂谷<The Rift>
10860933,0,2436,6955608,死地<The Deadlands>
4330293,34,1,6956026,死地<The Deadlands>
4330293,10,1,6983490,迪莎安<Deshaan>
4330293,17,1,6989545,绿荫<Greenshade>
10860933,0,1566,6995603,奥辛纽姆<Orsinium>
4330293,4,1,6999224,碎裂山峰<Rivenspire>
10860933,0,594,6999299,希林瓦纳<Silvenar>
4330293,16,1,7042704,格拉特森林<Grahtwood>
17915077,0,140,7067849,盾牌猛击<Power Bash>
4330293,9,1,7070845,石坠<Stonefalls>
10860933,0,1731,7073931,安维尔<Anvil>
4330293,26,1,7075614,发条城<Clockwork City>
17915077,0,123,7103413,齐射<Volley>
10860933,0,1045,7104043,战士<The Warrior>
10860933,0,520,7104063,战士<The Warrior>
10860933,0,579,7104083,战士<The Warrior>
10860933,0,899,7104103,战士<The Warrior>
17915077,0,419,7177393,撕裂<Lacerate>
4330293,3,1,7195155,风暴港<Stormhaven>
10860933,0,628,7203101,薇灵港<Velyn Harbor>
10860933,0,2455,7228186,旌旗湾<Gonfalon Bay>
10860933,0,1730,7233689,科瓦奇<Kvatch>
4330293,6,1,7299416,班科莱<Bangkorai>
10860933,0,1011,7302817,长者之树<Elden Root>
17915077,0,435,7337005,时间停止<Time Stop>
10860933,0,1998,7372525,黑檀迷阵<Ebon Stadmont>
10860933,0,171,7385165,哈林驻地<Hallin's Stand>
10860933,0,941,7400101,虚幻之城<The Hollow City>
10860933,0,270,7450271,哀伤之城<Mournhold>
17915077,0,142,7483715,护盾冲锋<Shield Charge>
10860933,0,2373,7499095,维尔克<Welke>
10860933,0,886,7515015,阿兰西亚<Arenthia>
4330293,12,1,7522912,东境<Eastmarch>
10860933,0,2204,7552173,独孤城<Solitude>
4330293,18,1,7583208,高崖岩岭<Malabal Tor>
10860933,0,1012,7594564,南点<Southpoint>
4330293,15,1,7604676,奥瑞顿<Auridon>
10860933,0,1524,7619727,龙星竞技场<Dragonstar Arena>
17915077,0,63,7621437,封装<Encase>
4330293,11,1,7643921,影沼<Shadowfen>
10860933,0,235,7645337,断盔城<Shornhelm>
10860933,0,2134,8341535,雷蒙<Rimmen>
17915077,0,50,8413246,魔族地雷<Daedric Mines>
10860933,0,2186,8437516,森察<Senchal>
17915077,0,93,8441392,召唤阴影<Summon Shade>
10860933,0,763,8461711,海玟港<Haven>
4330293,24,1,8512613,黄金海岸<Gold Coast>
10860933,0,1044,8514914,女神<The Lady>
10860933,0,387,8514931,女神<The Lady>
10860933,0,468,8514948,女神<The Lady>
10860933,0,677,8514965,女神<The Lady>
10860933,0,2086,8515339,利尔蒙斯<Lilmoth>
17915077,0,139,8517401,低砍<Low Slash>
10860933,0,971,8517923,玛布鲁克<Marbruk>
17915077,0,153,8524999,猛扑<Pounce>
10860933,0,2133,8526394,河堡城<Riverhold>
4330293,5,1,8537466,阿里克尔沙漠<Alik'r Desert>
10860933,0,203,8541363,帕加马<Bergama>
17915077,0,160,8585388,破晓者<Dawnbreaker>
10860933,0,314,8590064,黑檀心城<Ebonheart>
10860933,0,1049,8608163,毒蛇<The Serpent>
10860933,0,351,8608183,毒蛇<The Serpent>
10860933,0,415,8608203,毒蛇<The Serpent>
10860933,0,952,8608223,毒蛇<The Serpent>
10860933,0,843,8623691,森炉城<Woodhearth>
10860933,0,1989,8630400,黄铜要塞<The Brass Fortress>
10860933,0,2312,8657500,微光之岸<Gloomreach>
10860933,0,2338,8657525,微光之岸<Gloomreach>
10860933,0,436,8697701,君王<The Lord>
10860933,0,805,8697718,君王<The Lord>
10860933,0,983,8697735,君王<The Lord>
10860933,0,2290,8698777,玛卡斯<Markarth>
10860933,0,1042,8734626,学徒<The Apprentice>
10860933,0,374,8734649,学徒<The Apprentice>
10860933,0,694,8734672,学徒<The Apprentice>
10860933,0,938,8734695,学徒<The Apprentice>
10860933,0,1678,8737891,植物园<Arboretum>
17915077,0,81,8748073,龙骑军旗<Dragonknight Standard>
10860933,0,1681,8761124,纪念馆区<Memorial District>
17915077,0,407,8774127,虫群<Swarm>
10860933,0,1787,8803615,遗忘荒地<Forgotten Wastes>
10860933,0,2383,8805020,吉迪昂<Gideon>
10860933,0,1682,8822013,贵族区<Nobles District>
17915077,0,135,8830982,再生<Regeneration>
17915077,0,57,8837507,召唤风暴侍灵<Summon Storm Atronach>
10860933,0,560,8846632,风舵城<Windhelm>
10860933,0,1043,8853828,侍灵<The Atronach>
10860933,0,349,8853849,侍灵<The Atronach>
10860933,0,413,8853870,侍灵<The Atronach>
10860933,0,951,8853891,侍灵<The Atronach>
10860933,0,1680,8881082,精灵花园区<Elven Gardens District>
17915077,0,75,8943208,石化<Petrify>
10860933,0,1052,8959448,战马<The Steed>
10860933,0,372,8959466,战马<The Steed>
10860933,0,688,8959484,战马<The Steed>
10860933,0,937,8959502,战马<The Steed>
10860933,0,930,8972370,纱隐牧邸<The Vile Manse>
10860933,0,1068,9002933,考蒙特<Cormount>
10860933,0,2381,9007156,毁灭密室深潭<Doomvault Porcixid>
10860933,0,266,9011964,永恒城<Evermore>
10860933,0,1079,9019413,避难所<The Harborage>
10860933,0,1080,9019438,避难所<The Harborage>
10860933,0,1081,9019463,避难所<The Harborage>
10860933,0,2189,9033225,月光湾<Moonlit Cove>
17915077,0,154,9038969,咆哮<Roar>
10860933,0,1531,9042692,天临墓窟<Skyreach Catacombs>
4330293,0,1,9046210,斯卓米凯岛<Stros M'Kai>
10860933,0,1683,9051971,神庙区<Temple District>
10860933,0,2423,9082636,炽热之望<Ardent Hope>
10860933,0,824,9116630,沙丘城<Dune>
10860933,0,1048,9153590,恋人<The Lover>
10860933,0,386,9153608,恋人<The Lover>
10860933,0,469,9153626,恋人<The Lover>
10860933,0,725,9153644,恋人<The Lover>
10860933,0,238,9160454,北角镇<Northpoint>
10860933,0,2413,9161554,豹牙教堂<Pantherfang Chapel>
10860933,0,695,9165966,裂谷城<Riften>
10860933,0,2000,9171444,海堡<Sea Keep>
17915077,0,317,9177046,攻城之盾<Siege Shield>
17915077,0,410,9222987,雌性气母<Betty Netch>
10860933,0,1120,9239004,总督的要塞<Exarch's Stronghold>
10860933,0,1972,9247014,监管大厅<Halls of Regulation>
17915077,0,31,9260592,新星<Nova>
10860933,0,2384,9265576,寂静大厅<The Silent Halls>
10860933,0,2271,9275265,盗贼绿洲<Thieves' Oasis>
10860933,0,1679,9302723,竞技场区<Arena District>
10860933,0,1133,9305075,贝尔卡斯<Belkarth>
17915077,0,444,9308328,爆裂骸骨<Blastbones>
10860933,0,972,9310945,蕨叶<Brackenleaf>
10860933,0,151,9319165,达文之望<Davon's Watch>
10860933,0,2052,9326018,埃尔德堡废墟<Eldbur Ruins>
10860933,0,2010,9380499,国王之港通道<King's Haven Pass>
10860933,0,2011,9380537,国王之港通道<King's Haven Pass>
17915077,0,408,9406217,烧焦<Scorch>
10860933,0,317,9416909,风暴堡<Stormhold>
10860933,0,2457,9450090,全旗小岛<All Flags Islet>
10860933,0,2349,9452284,考古家的高山走廊<Antiquarian's Alpine Gallery>
10860933,0,2437,9455738,亚历德魔法井<Ayleid Well>
10860933,0,2438,9455770,亚历德魔法井<Ayleid Well>
10860933,0,2439,9455802,亚历德魔法井<Ayleid Well>
10860933,0,2440,9455834,亚历德魔法井<Ayleid Well>
10860933,0,2441,9455866,亚历德魔法井<Ayleid Well>
10860933,0,741,9467757,先祖神洲礼仪学院<College of Aldmeri Propriety>
10860933,0,2002,9469334,科格拉德荒地<Corgrad Wastes>
10860933,0,260,9471215,十字女巫镇<Crosswych>
17915077,0,71,9472278,暗黑利爪<Dark Talons>
10860933,0,1740,9478591,沙漏居留地<Enclave of the Hourglass>
10860933,0,2047,9479389,尖牙巢穴<Fang Lair>
10860933,0,1117,9486676,嗥叫墓穴<The Howling Sepulchers>
10860933,0,929,9502660,欢宴庄园<The Manor of Revelry>
10860933,0,1786,9504965,纳曲莱夫庭斯<Nchuleftingth>
10860933,0,817,9508337,香丁港<Port Hunding>
10860933,0,1983,9537104,腹部之终<Ventral Terminus>
10860933,0,163,9587814,班科莱要塞<Bangkorai Garrison>
10860933,0,724,9643918,绿水湾<Greenwater Cove>
10860933,0,928,9709461,阴森密室<The Lightless Oubliette>
10860933,0,756,9709727,狮巢<Lion's Den>
10860933,0,2068,9712693,祭品游行<March of Sacrifices>
17915077,0,148,9715393,迷雾形态<Mist Form>
10860933,0,2067,9716473,月狩要塞<Moon Hunter Keep>
10860933,0,2337,9721675,夜之洞堡垒<Nighthollow Keep>
10860933,0,2307,9738616,岸风深渊<Reachwind Depths>
17915077,0,455,9739174,复苏<Reanimate>
10860933,0,2234,9745293,废料<The Scraps>
10860933,0,721,9747450,天望城<Skywatch>
17915077,0,42,9750528,长矛碎片<Spear Shards>
10860933,0,820,9751014,斯兰-加<S'ren-ja>
10860933,0,2097,9770336,西帝斯之齿<Teeth of Sithis>
10860933,0,814,9779405,黄昏之藤小村<Vinedusk Village>
10860933,0,1760,9780404,沃司<Vos>
10860933,0,2394,9801462,希-塞<Xi-Tsei>
10860933,0,2371,9812442,泽尼萨尔修道院<Zenithar's Abbey>
10860933,0,1999,9813621,艾琳诺<Alinor>
10860933,0,2459,9821934,阿蒙诺斯驻地<Amenos Station>
10860933,0,2369,9827803,阿佩尼亚<Arpenia>
17915077,0,44,9828177,清算<Backlash>
10860933,0,1707,9828721,巴拉哈的暗窟<Bahraha's Gloom>
10860933,0,2199,9851143,毁灭石堡<Doomstone Keep>
17915077,0,46,9853514,日食<Eclipse>
10860933,0,678,9858343,首堡<Firsthold>
10860933,0,240,9893188,柯因德琳村<Koeglin Village>
17915077,0,28,9894174,熔岩之鞭<Lava Whip>
10860933,0,2333,9903429,恩川德-泽尔<Nchuand-Zel>
10860933,0,1535,9922450,奥辛纽姆旧址<Old Orsinium>
10860933,0,248,9942356,萨塔卡拉姆<Satakalaam>
10860933,0,1785,9945331,辛达·尼<Seyda Neen>
10860933,0,1973,9946029,暗影裂痕<The Shadow Cleft>
17915077,0,168,9953940,灵魂陷阱<Soul Trap>
10860933,0,408,9971361,审判席神庙<Tribunal Temple>
17915077,0,103,10027508,恐怖具现<Aspect of Terror>
10860933,0,913,10056954,黑熔炉<The Black Forge>
17915077,0,151,10058890,血族继承者<Blood Scion>
17915077,0,172,10059354,骨盾<Bone Shield>
10860933,0,2224,10084434,暗月石窟<Dark Moon Grotto>
10860933,0,2529,10107656,遥墓城<Fargrave>
10860933,0,1958,10153882,香丁的宏伟殿堂<Hunding's Palatial Hall>
10860933,0,2001,10169450,启明学院<Illumination Academy>
10860933,0,251,10197546,科赞赛特<Kozanset>
10860933,0,2334,10205098,阿克斯赞图书馆<Library of Arkthzand>
10860933,0,716,10235014,漫希尔森<Mathiisen>
17915077,0,120,10263560,毒箭<Poison Arrow>
17915077,0,48,10279520,成长典礼<Rite of Passage>
10860933,0,1101,10285890,追寻者的书库<The Seeker's Archive>
10860933,0,1894,10311671,泰尔·盖伦<Tel Galen>
10860933,0,2056,10333911,叛徒密室<Traitor's Vault>
10860933,0,1058,10343367,失落村庄<Village of the Lost>
10860933,0,138,10427701,安特图拉庄园<at-Tura Estate>
4330293,1,1,10432748,贝庭克<Betnikh>
10860933,0,2374,10435021,血奔洞穴<Bloodrun Cave>
17915077,0,88,10436011,模糊<Blur>
10860933,0,2469,10461570,珊瑚崖<Coral Cliffs>
10860933,0,958,10523737,灰暗泥潭<The Gray Mire>
10860933,0,1924,10614678,漫希尔森庄园<Mathiisen Manor>
10860933,0,873,10618027,米斯裘<Mistral>
10860933,0,686,10625422,北岸灯塔<North Beacon>
10860933,0,1716,10626382,诺·施拉要塞<No Shira Citadel>
10860933,0,2431,10637128,遥墓城传送门<Portal to Fargrave>
10860933,0,2432,10637167,遥墓城传送门<Portal to Fargrave>
10860933,0,2057,10663070,唤鳞者之巅<Scalecaller Peak>
10860933,0,2212,10664825,影绿<Shadowgreen>
10860933,0,2467,10668843,沉船浅滩<Shipwreck Shoals>
10860933,0,2462,10679238,猩红金币尖塔<Spire of the Crimson Coin>
10860933,0,2352,10680558,石鹰巢<Stone Eagle Aerie>
17915077,0,70,10682988,召唤黄昏翼魔<Summon Winged Twilight>
17915077,0,129,10695025,势不可挡<Unstoppable>
4330293,7,1,10737856,暗岩岛<Bleakrock Isle>
10860933,0,2335,10746212,布萨尔-泽尔<Bthar-Zel>
17915077,0,312,10751532,棱钉<Caltrops>
10860933,0,2360,10771286,深篾秘洞<Deepscorn Hollow>
10860933,0,2426,10776344,毁灭之慰<Destruction's Solace>
17915077,0,406,10779444,潜袭<Dive>
10860933,0,2465,10797776,火壶<The Firepot>
10860933,0,909,10814652,巨型锁链<The Great Shackle>
4330293,14,1,10846793,吉娜希之栖<Khenarthi's Roost>
10860933,0,2208,10846935,基尔克瑞斯神庙<Kilkreath Temple>
10860933,0,289,10848602,凯根摩尔<Kragenmoor>
17915077,0,97,10852278,锁定目标<Mark Target>
17915077,0,54,10866950,超载<Overload>
10860933,0,1336,10871893,拉格萨<Ragnthar>
10860933,0,1372,10871913,拉格萨<Ragnthar>
10860933,0,1417,10871933,拉格萨<Ragnthar>
10860933,0,906,10873013,罗尔'伽<Rawl'kha>
10860933,0,940,10874059,掠夺者要塞<The Reaver Citadel>
10860933,0,1104,10891134,沙达之泪<Shada's Tear>
10860933,0,646,10896888,希尔莎纶<Silsailen>
10860933,0,1540,10905790,哀伤山峰<Sorrow>
17915077,0,169,10906771,灵魂冲击<Soul Strike>
10860933,0,1766,10918396,苏兰<Suran>
10860933,0,1912,10948229,维威克城<Vivec City>
10860933,0,585,10998999,恶男的圣地<Bad Man's Hallows>
10860933,0,1767,10999458,巴尔莫拉<Balmora>
10860933,0,2537,10999983,浴房<The Bathhouse>
17915077,0,466,11026143,嗜血狂热<Blood Frenzy>
10860933,0,2028,11079584,蛛网大教堂<Cathedral of Webs>
10860933,0,2218,11204299,灰沼主堡<Greymoor Keep>
10860933,0,166,11218583,英雄大厅<Hall of Heroes>
10860933,0,720,11218960,死者之厅<Hall of the Dead>
4330293,23,1,11255267,休之灾星<Hew's Bane>
10860933,0,2550,11255342,高圣堡垒<Highhallow Hold>
10860933,0,1103,11281211,伊尔萨格塔地下<Ilthag's Undertower>
10860933,0,2167,11321081,湖沼珊米尔宅邸<Lakemire Xanmeer Manor>
